Freq_f1_t1_el1,Freq_f1_t2_el1,Freq_f1_t3_el1,Freq_f1_t1_el2,Freq_f1_t2_el2,Freq_f1_t3_el2,Freq_f2_t1_el2,Freq_f2_t2_el2,Freq_f2_t3_el2,Freq_f2_t1_el3,Freq_f2_t2_el3,Freq_f2_t3_el3,Freq_f3_t1_el2,Freq_f3_t2_el2,Freq_f3_t3_el2,Freq_f3_t1_el3,Freq_f3_t2_el3,Freq_f3_t3_el3,V,ID,congruency
31.57448926,7.955925056,62.90441599,51.56572634,-5.082138688,-18.51642191,14.74584531,-21.86157278,-59.31864234,-63.11548871,-39.21095235,-8.923746497,3.144115121,-30.39421894,-50.86388891,-26.33106357,-4.34877605,-37.75503966,0.9999990033333334,22,nan
103.4285372,-0.044192799,0.538517053,36.36904959,15.62494958,-28.28948015,0.18766259,-57.13339098,-33.18629414,-53.60811156,-65.26814077,-64.66738409,-29.70343293,-35.30149966,-11.83539453,-39.13590083,-37.50099335,-32.89321009,9.999333333333351e-05,22,nan
-6.125359357,49.32526176,8.250466171,-3.672919026,-14.23333542,-20.05194142,-3.581191233,-38.74440325,-39.06560885,59.78865612,-59.18392185,-72.18159687,-12.58329718,-34.0745352,-36.77825432,-17.19099502,-45.12928916,-53.02182422,0.9900009999333333,22,nan
-5.632187828,19.65084329,11.22670509,-23.00354035,47.13131719,28.54027862,-21.79280535,20.96083601,50.50906071,-32.28737986,-3.646865767,101.6134548,-38.25290658,-10.60747801,33.1097565,-32.48594251,-18.68526036,38.55333327,3.3333333333333477e-11,22,nan
-1.263001552,44.64449781,26.52697308,38.6938728,-24.65228276,-37.08910868,8.943354568,-35.98366132,-67.16630853,16.61255996,-28.01368643,-81.2528516,-2.024305102,-36.06038975,-58.21583903,-32.75189365,-39.24272671,-53.04538642,0.9999999900333333,22,nan
37.29774741,5.821004847,-7.918322697,8.735084235,-9.570842443,-34.36687929,18.94756774,-52.33486816,-62.76806982,-45.83212389,-73.10253458,-56.39353612,0.664040856,-38.22944224,-54.95314574,-29.02106052,-41.21232442,-37.22015043,0.9999000099993334,22,nan
-9.158220043,-5.346124711,-13.44681937,-5.927137034,18.4805846,-18.04058415,-33.64560863,-13.06278507,-47.03841895,-49.38479669,-31.26850675,-21.19207121,27.95993755,6.923974886,-38.83291153,-13.82323972,-4.191383976,-39.199726,0.009999999900333342,22,nan
9.732834981,-9.471017076,-7.097207907,-11.49155909,-30.02721474,-33.67890146,13.11989747,-8.652116631,-39.54752128,-35.59619434,-23.90675608,-60.11351737,-27.49271557,-23.54790387,-39.80623943,-39.71208157,-39.7557491,-41.69065853,3.3333333333333506e-13,22,nan
1.83623681,-20.91739002,29.64249192,-8.793280659,-1.332758402,-35.64693386,-7.830203066,-1.503490189,-12.85254868,-44.49390896,-31.64147801,-31.83482309,-15.18674372,18.13783711,-15.74469688,-40.20496032,-11.5427184,-14.83440848,3.3333333333333537e-15,22,nan
-21.99628402,-40.18716809,-17.95184286,18.27214114,-23.57855801,-20.4791963,58.82388943,-32.66193494,-62.61944517,32.08548027,-55.63271315,-61.01239735,9.544209752,-38.82322893,-49.05853499,3.548145131,-42.70055308,-41.7663706,0.9900999999990033,22,nan
